aircraft_profile,origin,destination,distance_nm,payload_kg,taxi_minutes,wind_component_knots,temperature_c,planned_burn_kg,actual_burn_kg,flight_date
generic_transport_aircraft,EGNX,EGPF,408.05,6053.65,16.48,-9.95,22.87,6041.62,6363.64,2025-06-03
generic_transport_aircraft,EGTK,LLBG,84.64,4445.4,8.41,19.0,32.2,1297.91,1292.78,2025-06-19
generic_heavy_transport,LFPG,EGPF,451.91,21201.9,10.06,6.24,12.29,19656.72,23074.23,2026-03-29
generic_transport_aircraft,EGGW,LFPG,727.41,8604.46,10.53,15.19,27.35,10509.49,10756.84,2025-04-06
generic_light_aircraft,EGPH,EGPF,244.99,368.28,16.77,32.27,7.54,331.06,334.3,2025-07-20
generic_business_jet,EHAM,EGSS,1528.88,1226.04,23.9,11.48,6.9,10524.55,10341.29,2025-03-02
generic_light_aircraft,EGGW,EGPH,700.15,156.54,14.55,2.71,17.99,928.59,914.42,2025-09-07
generic_transport_aircraft,EDDF,LFPG,1177.43,11998.84,18.21,-5.83,0.61,17239.47,16829.6,2025-07-03
generic_light_aircraft,EGTK,LFPG,1475.7,485.53,17.12,-5.4,22.39,1955.71,2063.94,2026-03-07
generic_light_aircraft,EGNM,LFPG,1037.27,418.35,10.85,-42.38,3.99,1407.18,1374.74,2026-01-31
generic_transport_aircraft,LEBL,EGNM,243.69,1813.38,23.05,20.86,9.67,3669.63,4010.92,2025-01-22
generic_business_jet,LEBL,LEMD,428.54,937.73,22.19,7.29,4.9,3066.98,3097.48,2026-03-18
generic_business_jet,LLBG,EGSS,1789.4,1463.45,11.21,19.86,18.52,12145.98,12024.92,2025-12-30
generic_business_jet,EHAM,LEMD,1126.35,1477.27,23.9,19.44,17.8,7769.19,7205.01,2025-12-27
generic_transport_aircraft,EGNX,EGPH,1716.46,6415.77,25.8,20.21,0.42,24654.81,24286.61,2025-07-30
generic_heavy_transport,EGTK,EGPH,267.69,39643.15,11.49,11.91,28.14,12014.31,12085.79,2025-10-23
generic_transport_aircraft,EDDF,EGNX,703.43,1368.44,23.48,16.51,11.11,10174.01,9335.82,2025-12-22
generic_heavy_transport,EGPH,LFPG,619.39,5098.92,23.03,13.62,24.24,26829.89,24723.92,2025-02-02
generic_business_jet,LEBL,LFPG,1744.07,1537.27,16.88,-19.17,6.34,12152.49,12407.33,2025-03-08
generic_transport_aircraft,EHAM,EGNM,1614.24,9265.92,7.01,5.09,28.47,23267.88,26199.3,2025-08-22
generic_business_jet,EGTK,EGNM,1253.48,497.87,20.3,-32.28,32.31,8854.26,8968.77,2025-12-02
generic_light_aircraft,EGPH,EGNX,1211.21,359.56,7.14,5.05,24.04,1586.0,1589.04,2025-02-18
generic_transport_aircraft,EGTK,EGNX,277.89,3101.19,20.96,-44.26,22.82,4253.76,4006.12,2026-03-17
generic_light_aircraft,EGPF,LEBL,169.3,253.23,22.08,-36.81,7.53,252.99,258.53,2026-01-21
generic_transport_aircraft,LLBG,EGLL,1233.38,1286.73,18.39,3.83,1.56,17702.87,17343.28,2025-04-20
generic_light_aircraft,EDDF,LEBL,767.55,374.63,24.92,-38.06,-0.98,1058.09,1059.28,2025-08-08
generic_light_aircraft,EGPH,LLBG,531.08,133.7,18.17,3.0,19.3,714.34,661.92,2025-12-20
generic_heavy_transport,EGTK,LEMD,405.56,29277.07,10.15,-13.66,20.85,17922.09,18291.31,2025-07-17
generic_transport_aircraft,EGSS,EGNX,1087.35,6575.29,27.51,33.95,32.36,15657.95,14162.03,2026-03-17
generic_business_jet,LLBG,EHAM,1003.86,559.16,16.36,33.99,-2.08,6815.4,6762.1,2026-04-18
generic_business_jet,EGTK,LLBG,547.79,1368.94,22.88,-11.11,11.09,3924.51,3905.74,2025-10-03
generic_business_jet,EHAM,EGLL,588.89,1066.96,10.47,19.64,16.46,4043.5,3799.53,2025-12-15
generic_business_jet,EDDF,EGSS,812.79,1730.14,11.25,-25.44,31.99,5723.95,6007.0,2025-11-10
generic_business_jet,EHAM,EGTK,1346.67,1410.99,8.63,11.63,23.06,9189.88,9834.05,2026-02-05
generic_business_jet,LLBG,LEMD,697.63,1424.66,25.22,13.63,-0.28,4901.31,5472.63,2025-06-21
generic_business_jet,LEBL,EGPF,157.1,1368.48,18.69,-38.83,13.21,1230.2,1179.4,2025-07-08
generic_transport_aircraft,EGLL,EGPH,1614.44,8252.38,8.54,14.26,-4.9,23152.06,24305.88,2025-01-07
generic_transport_aircraft,EGGW,EGTK,717.13,2225.97,26.49,23.6,17.11,10381.76,11186.06,2025-06-14
generic_heavy_transport,EGGW,EGNM,606.49,38039.88,18.57,-35.45,21.93,27305.71,26035.69,2025-04-25
generic_heavy_transport,LEBL,LFPG,1719.41,7757.06,16.23,-22.42,28.79,73840.76,83249.07,2025-05-30
generic_business_jet,EHAM,LLBG,1137.87,995.89,19.02,-5.53,25.9,7924.2,8413.37,2026-04-07
generic_transport_aircraft,LFPG,LLBG,309.24,11222.57,6.53,-1.68,20.44,4536.87,4524.81,2026-01-24
generic_transport_aircraft,EDDF,EGPF,1321.26,1695.41,17.66,-25.95,14.68,19191.22,19053.8,2025-03-14
generic_light_aircraft,LEMD,EGNX,1661.84,458.91,17.43,11.07,9.9,2165.97,2215.51,2025-03-10
generic_light_aircraft,EDDF,EGPF,1041.53,273.99,27.21,-26.06,5.44,1414.92,1409.7,2026-02-15
generic_transport_aircraft,EGPF,LEBL,617.57,5706.72,11.14,30.48,0.44,8841.96,8871.46,2025-08-19
generic_business_jet,EGNM,EGPH,985.55,1746.95,10.57,-20.34,5.6,6882.08,6701.71,2025-03-22
generic_business_jet,LEBL,EDDF,1281.76,1204.95,10.73,23.53,0.93,8694.21,8390.49,2025-01-26
generic_business_jet,EDDF,EGNX,1783.64,346.62,14.9,-8.82,24.92,12315.54,10587.85,2025-08-25
generic_transport_aircraft,EGSS,LLBG,258.15,1209.2,23.18,-27.22,2.93,3946.26,3678.18,2025-02-13
generic_business_jet,EHAM,EDDF,1471.37,332.7,7.42,27.2,12.74,9905.51,10390.65,2026-04-09
generic_business_jet,LLBG,LEBL,119.93,991.49,9.7,0.91,27.87,896.87,887.33,2025-03-30
generic_heavy_transport,EGPH,EGGW,527.59,22840.46,9.27,4.13,19.68,22914.52,23103.5,2025-09-13
generic_transport_aircraft,EGPF,EHAM,198.95,4904.68,15.22,6.41,26.89,2999.69,3002.52,2025-01-10
generic_transport_aircraft,EGPF,LLBG,886.85,9486.5,13.57,0.25,7.86,12904.24,15177.71,2025-01-14
generic_business_jet,EGPH,EDDF,1617.07,1467.81,7.29,34.32,16.18,10860.7,11110.52,2025-02-21
generic_business_jet,EGGW,LEMD,981.63,1486.86,22.22,16.12,32.91,6806.45,5332.52,2026-02-13
generic_heavy_transport,EGPF,EGPH,1785.16,11948.48,11.2,-19.56,24.52,76675.69,73111.75,2025-06-30
generic_light_aircraft,EHAM,EDDF,1709.39,434.68,23.83,32.63,16.68,2199.34,2324.85,2025-01-20
generic_business_jet,EGSS,EGTK,429.01,1089.67,6.02,28.43,3.06,2918.33,3092.32,2026-03-09
generic_light_aircraft,LLBG,EGPH,304.23,381.88,9.12,-36.13,16.05,418.74,445.49,2025-02-07
generic_heavy_transport,EGPH,LEBL,739.27,9041.29,12.64,-34.08,1.3,32098.46,35065.13,2025-11-29
generic_transport_aircraft,EGPH,EGLL,1031.27,10730.4,19.5,-16.45,21.62,15178.55,14709.96,2025-07-13
generic_transport_aircraft,EGNX,LEBL,268.5,8881.56,26.87,30.9,10.66,4081.69,5642.67,2025-06-12
generic_business_jet,LEBL,EHAM,1037.54,1705.03,9.09,14.63,4.52,7084.81,7048.55,2025-03-27
generic_transport_aircraft,EDDF,EGSS,1220.89,8886.79,13.39,-44.09,3.39,18021.36,17699.54,2026-01-04
generic_business_jet,EGTK,EGSS,1330.69,1753.65,25.46,-5.55,10.15,9294.21,8849.26,2025-02-21
generic_transport_aircraft,LLBG,EGNM,1059.49,9219.8,10.96,-8.9,26.97,15425.61,15592.74,2025-02-23
generic_light_aircraft,EGSS,EGPF,703.93,392.79,18.04,26.85,-1.28,918.95,921.08,2025-11-11
generic_light_aircraft,EGNM,LEBL,1698.99,166.0,25.57,-32.43,-0.95,2295.6,2318.19,2026-01-05
generic_business_jet,LEMD,LFPG,539.07,656.32,7.09,0.74,28.59,3730.99,3859.04,2025-07-04
generic_light_aircraft,EGTK,EGNM,1490.94,350.04,16.57,-37.24,3.28,2015.71,1818.89,2025-03-01
generic_business_jet,EGNX,LLBG,903.36,1291.56,8.01,-1.47,2.4,6222.16,5504.51,2025-07-09
generic_light_aircraft,EGLL,LFPG,816.74,205.36,24.42,0.14,1.05,1091.62,1082.69,2026-02-18
generic_heavy_transport,LFPG,EGPF,1079.97,27144.08,24.5,20.47,11.75,47020.58,45919.56,2026-03-20
generic_heavy_transport,EGNM,EDDF,880.84,8158.2,25.86,12.14,15.08,38023.81,41067.71,2025-11-14
generic_heavy_transport,EGLL,EGSS,833.06,42962.46,9.68,-28.05,2.71,37014.61,40797.03,2025-12-16
generic_heavy_transport,EGPF,EGGW,1145.78,38364.32,11.67,27.86,31.57,49768.07,52244.13,2025-06-16
generic_transport_aircraft,LLBG,EGNX,1654.62,642.18,21.41,2.01,26.27,23721.09,24249.61,2025-03-18
generic_transport_aircraft,EGLL,EDDF,1375.95,11305.97,26.35,0.01,-0.96,20128.57,19820.26,2025-07-30
generic_transport_aircraft,EGNX,EGNM,1048.9,5940.04,9.79,-12.76,19.73,15207.22,16216.66,2025-07-25
generic_heavy_transport,EGTK,EGNM,626.77,14503.17,22.41,28.67,30.88,27215.24,29953.31,2025-05-24
generic_heavy_transport,LLBG,EGNM,1246.92,43899.87,11.02,-20.96,24.75,55209.79,55919.75,2025-06-14
generic_business_jet,EGNX,LEBL,1177.95,581.9,10.65,20.92,24.64,8005.48,8058.22,2025-09-21
generic_light_aircraft,LEBL,EGLL,1290.29,261.35,23.17,-3.06,17.75,1712.68,1523.74,2026-03-25
generic_transport_aircraft,LLBG,EGGW,482.86,5749.16,26.2,11.37,5.96,7143.87,7351.54,2025-03-05
generic_business_jet,EDDF,EGTK,902.82,969.16,27.13,-7.03,17.05,6373.82,6001.57,2026-03-05
generic_transport_aircraft,EGNX,LEBL,203.64,815.68,7.09,23.31,26.19,2946.55,2972.03,2025-04-16
generic_business_jet,EGNX,LEMD,80.19,1470.46,22.89,-44.29,31.46,739.11,767.15,2025-11-04
generic_business_jet,LEBL,EGTK,1112.64,1714.51,21.68,11.75,6.02,7696.49,8351.37,2025-04-22
generic_transport_aircraft,EGNM,EGNX,1491.67,5067.25,8.25,-4.08,21.49,21464.59,20056.76,2025-07-11
generic_transport_aircraft,LFPG,LEMD,541.1,8370.75,16.6,-18.1,6.06,8003.44,7842.26,2026-04-02
generic_light_aircraft,EDDF,EGNX,952.85,196.12,7.25,23.59,27.4,1235.6,1284.33,2025-06-13
generic_transport_aircraft,EDDF,EGLL,1195.23,11970.89,11.71,-11.51,10.53,17472.35,18943.37,2025-04-08
generic_transport_aircraft,EGPH,LEBL,1249.49,7840.61,16.47,30.25,9.34,17886.32,18226.09,2025-03-29
generic_heavy_transport,LLBG,EDDF,362.89,8904.12,8.81,-24.31,27.33,15806.19,15851.01,2025-06-21
generic_business_jet,EDDF,EGSS,436.94,1607.15,15.25,25.95,9.87,3045.48,2939.31,2025-08-26
generic_transport_aircraft,LLBG,EGSS,1565.52,7211.11,26.77,-39.3,30.58,23116.84,20560.59,2025-06-02
generic_heavy_transport,EGPF,EGTK,309.62,44693.91,13.54,33.98,30.71,13868.88,13864.28,2025-03-15
generic_light_aircraft,EGPH,LEBL,186.82,233.05,27.71,-19.93,-2.68,280.02,269.93,2025-10-23
generic_transport_aircraft,LEBL,EGLL,1385.06,1512.48,19.52,5.68,11.14,19859.89,20082.06,2025-07-16
generic_transport_aircraft,EGTK,EGSS,1327.31,11425.79,25.62,15.55,16.24,19299.64,19395.53,2025-04-26
generic_business_jet,LEMD,EGPH,225.25,1055.0,12.73,-39.78,-3.17,1662.58,1663.51,2025-08-22
generic_transport_aircraft,LEMD,LFPG,637.9,10711.7,27.9,-17.58,31.06,9560.82,9345.46,2026-04-16
generic_light_aircraft,LEBL,EGPF,438.68,493.95,10.65,-43.25,15.19,603.05,619.63,2025-12-31
generic_light_aircraft,EDDF,LLBG,1583.33,202.32,17.76,-41.11,34.79,2161.86,2589.75,2025-03-01
generic_business_jet,EGPF,LFPG,1005.48,1011.59,9.37,10.62,20.21,6880.44,6411.59,2025-12-05
generic_transport_aircraft,EGSS,LEMD,1138.01,8558.35,15.21,26.89,15.46,16333.18,15792.16,2025-09-12
generic_light_aircraft,EGGW,EDDF,506.55,309.26,10.44,11.27,6.81,665.96,559.26,2026-04-12
generic_heavy_transport,EGGW,LEBL,625.21,5109.52,20.78,27.55,28.41,26876.92,26467.66,2025-09-19
generic_transport_aircraft,EGSS,LEBL,1632.89,7909.87,16.05,33.18,5.57,23293.62,22657.71,2026-02-21
generic_heavy_transport,EGLL,EGTK,677.18,32070.66,15.37,-35.73,29.05,30154.66,30333.1,2025-11-28
generic_business_jet,EGLL,EGPF,813.19,1232.71,25.33,-37.56,27.6,5858.33,5829.76,2025-07-25
generic_business_jet,EGPF,LFPG,721.93,1576.01,23.6,6.91,26.88,5084.51,5411.76,2026-03-09
generic_business_jet,EGLL,EGSS,1081.77,1503.4,20.92,-30.5,10.19,7661.41,8085.55,2025-01-15
generic_heavy_transport,LLBG,EDDF,1321.37,40670.51,16.63,-5.95,30.5,58244.31,57165.02,2025-01-07
generic_transport_aircraft,LEMD,EDDF,1350.06,8823.4,10.93,31.46,29.93,19287.38,19427.1,2025-12-19
generic_light_aircraft,LEMD,EHAM,1206.31,199.43,13.61,9.1,10.4,1574.51,1633.26,2025-01-28
generic_heavy_transport,EGTK,LEMD,932.27,23771.56,16.91,-31.77,25.06,41011.99,38567.81,2025-06-19
generic_transport_aircraft,EGNX,EGTK,1011.12,4854.33,23.98,-38.69,12.77,14935.48,14619.34,2025-06-11
generic_transport_aircraft,EGSS,LFPG,76.18,5139.56,6.79,-1.07,28.04,1168.85,1156.63,2025-11-13
generic_heavy_transport,EDDF,EGNX,1031.89,31183.84,16.04,-17.73,28.01,45390.16,47346.41,2026-01-28
generic_transport_aircraft,EHAM,EDDF,1198.33,8733.01,8.51,15.75,3.87,17207.9,15539.97,2026-03-01
generic_business_jet,EDDF,LLBG,961.08,1353.14,7.01,-31.87,0.62,6726.54,6604.23,2025-11-09
generic_light_aircraft,EGGW,EGNX,1540.6,186.24,24.14,-29.75,8.52,2078.74,1899.86,2025-01-24
generic_transport_aircraft,EDDF,LEMD,1400.11,5680.8,20.49,31.5,0.39,19988.94,16038.74,2026-03-06
generic_heavy_transport,EHAM,EGNM,1415.8,41407.26,21.22,-31.11,27.61,63060.63,63092.01,2025-12-03
generic_heavy_transport,EHAM,EDDF,929.71,20386.51,27.55,28.27,25.49,40372.81,39528.5,2025-08-20
generic_light_aircraft,LEBL,EGLL,1102.43,454.57,17.27,22.45,16.91,1432.67,1633.28,2026-01-13
generic_business_jet,LFPG,LEMD,413.05,1371.58,21.11,28.7,0.31,2921.19,2813.61,2025-10-05
generic_business_jet,LEMD,EDDF,247.54,828.36,16.57,0.65,21.69,1810.11,1547.77,2026-01-18
generic_business_jet,LLBG,LFPG,1532.01,1512.46,17.5,-42.98,0.81,10839.5,10648.25,2025-03-24
generic_business_jet,EGNX,LEMD,1518.12,1335.89,12.49,15.29,-3.71,10348.69,10015.29,2025-02-22
generic_transport_aircraft,EHAM,LEMD,1562.8,9037.75,18.35,-25.99,26.37,22924.62,23238.2,2026-04-20
generic_business_jet,EGPF,EGNM,1428.14,1327.72,27.25,-40.7,24.75,10174.33,9734.96,2026-03-21
generic_transport_aircraft,LEBL,EGNM,1644.66,8603.23,20.25,15.41,16.86,23703.21,21907.02,2025-05-31
generic_heavy_transport,EGNM,EGLL,175.69,43499.01,22.17,-35.45,-3.37,8532.74,8041.6,2025-05-16
generic_transport_aircraft,EGLL,EGGW,492.55,4301.47,21.61,-32.62,1.15,7351.27,7293.71,2025-11-12
generic_business_jet,LLBG,EDDF,1431.29,1125.24,7.6,11.61,16.02,9744.37,9899.81,2025-09-24
generic_transport_aircraft,EGSS,LLBG,774.96,6675.91,8.02,-27.3,3.53,11320.25,11030.39,2026-01-21
generic_transport_aircraft,EHAM,LFPG,1030.14,9149.54,20.28,-35.82,8.84,15250.21,15941.02,2025-11-25
generic_business_jet,EHAM,EDDF,114.98,1628.49,14.39,18.7,-0.47,879.53,1087.4,2026-02-25
generic_transport_aircraft,LEBL,EGPH,937.83,6098.25,12.52,7.12,7.81,13522.44,14714.76,2025-02-19
generic_transport_aircraft,EGLL,LLBG,57.87,1252.93,20.75,16.89,29.6,1036.5,1012.76,2025-12-26
generic_business_jet,LEMD,LLBG,1478.4,408.18,21.09,-43.1,23.67,10475.28,12275.05,2025-01-28
generic_business_jet,EGLL,LLBG,168.63,1532.43,26.04,-12.39,13.05,1346.13,1292.85,2025-03-02
generic_transport_aircraft,LFPG,EGTK,1130.2,9193.55,18.88,11.07,-2.1,16380.85,16824.8,2025-02-24
generic_transport_aircraft,EGNX,LLBG,1109.52,3737.45,26.39,-14.49,27.88,16212.93,16723.14,2026-01-18
generic_transport_aircraft,EGPF,LLBG,1002.75,11541.54,9.17,9.18,31.57,14531.74,14621.42,2026-01-09
generic_heavy_transport,EDDF,EGPH,64.57,39990.68,9.11,-41.66,17.91,3168.85,2996.19,2025-04-18
generic_heavy_transport,LEMD,LEBL,648.46,21506.18,20.21,-4.0,1.44,28508.89,29728.18,2026-03-04
generic_light_aircraft,EGNX,EGGW,1222.57,326.92,7.2,15.08,34.6,1596.81,1476.38,2025-12-10
generic_light_aircraft,EGSS,EGPH,1318.41,294.88,13.28,-34.74,21.22,1782.2,1739.6,2025-11-14
generic_business_jet,EGSS,EGNX,835.88,1224.51,12.72,1.73,17.62,5786.26,5603.38,2025-01-03
generic_transport_aircraft,EGPH,EGGW,1294.91,7869.64,12.09,-16.24,22.18,18854.52,19534.8,2025-09-03
generic_business_jet,EGNM,LFPG,581.1,1127.51,9.87,3.53,28.67,4034.45,4111.37,2025-05-15
generic_light_aircraft,LEMD,EDDF,177.33,107.45,17.16,-42.5,18.28,261.35,255.22,2025-10-30
generic_transport_aircraft,EGGW,EGTK,998.79,11985.37,16.39,17.02,9.63,14496.08,14724.99,2025-05-29
generic_transport_aircraft,EGLL,LFPG,203.92,4684.45,6.23,-25.89,33.56,3024.61,3306.71,2025-12-17
generic_transport_aircraft,EGLL,LLBG,828.12,2560.17,26.87,7.75,33.71,12048.94,11981.64,2025-04-23
generic_business_jet,LEBL,EGNM,508.95,651.03,20.71,-3.57,26.66,3631.17,3402.5,2026-04-15
generic_light_aircraft,EGNM,EGTK,1183.16,141.29,27.31,5.69,5.94,1564.82,1559.07,2025-07-12
generic_business_jet,EDDF,EGPF,1191.61,1553.2,17.37,-14.89,31.29,8337.89,7735.76,2025-06-30
generic_transport_aircraft,LLBG,EGPH,891.1,7448.43,17.04,-33.88,1.62,13144.61,14063.49,2025-04-06
generic_transport_aircraft,EGLL,EGPF,1478.76,8102.76,15.12,-18.58,-0.47,21566.04,22359.28,2025-09-03
generic_light_aircraft,EGGW,EDDF,1507.56,108.98,6.95,0.88,1.45,1967.49,1946.48,2025-01-29
generic_heavy_transport,EGLL,EGPH,951.7,21218.25,27.32,6.01,30.14,41627.29,41156.64,2026-02-25
generic_business_jet,EGNX,EGSS,1109.45,1007.12,16.6,-27.45,11.43,7801.24,8155.3,2025-11-16
generic_business_jet,EDDF,LFPG,1315.95,814.01,15.98,2.25,4.19,9066.64,9581.67,2025-02-25
generic_transport_aircraft,EGTK,EGNX,1640.89,8370.23,24.18,3.44,2.1,23797.03,25240.53,2025-09-30
generic_light_aircraft,LFPG,LLBG,891.33,152.13,19.28,21.2,30.88,1176.21,1125.47,2025-11-29
generic_business_jet,EGPF,EHAM,1580.32,1346.46,15.44,30.07,14.28,10696.99,10760.96,2026-04-10
generic_transport_aircraft,LEBL,LEMD,791.73,3426.96,22.85,27.81,-1.65,11395.99,10817.68,2025-10-06
generic_light_aircraft,EGPF,EGNX,1289.56,415.77,18.72,-35.57,-4.71,1746.9,1664.16,2025-07-05
generic_business_jet,EGSS,EGGW,1072.32,691.95,17.79,0.17,19.48,7433.15,6918.24,2025-07-23
generic_business_jet,LEBL,EGGW,1420.55,1023.7,14.14,-0.61,5.15,9785.38,9613.05,2026-01-12
generic_light_aircraft,EGLL,LEMD,448.25,413.24,26.88,-36.98,15.33,632.57,662.53,2026-02-15
generic_transport_aircraft,LFPG,EDDF,1285.42,2348.49,27.22,-44.58,-1.36,18932.31,20384.28,2025-02-02
generic_business_jet,EGNX,EGGW,1113.85,1386.74,26.48,-12.95,21.25,7849.08,8628.45,2025-11-02
generic_transport_aircraft,EGTK,LLBG,1168.71,5548.18,10.44,7.55,27.16,16793.02,16738.85,2025-09-22
generic_transport_aircraft,LEMD,EGGW,1227.91,4637.01,20.41,33.05,-1.53,17516.53,17762.03,2025-07-24
generic_business_jet,EGPH,LEMD,1073.57,1076.61,22.21,-39.51,-1.39,7646.06,7475.89,2025-06-28
generic_business_jet,EGPH,EGNX,1735.17,982.14,14.89,-44.63,2.0,12239.92,13477.09,2025-10-14
generic_business_jet,EGSS,EHAM,1707.01,1504.41,27.05,25.09,27.53,11677.09,10795.91,2025-10-16
generic_business_jet,EGNM,LLBG,641.1,1463.4,21.0,26.72,29.48,4466.87,4295.4,2025-05-13
generic_transport_aircraft,EGSS,EGNM,1789.82,8284.5,11.06,-19.74,33.22,26063.95,25864.64,2025-05-08
generic_business_jet,EGNX,EGSS,1359.12,812.99,18.2,-30.72,7.55,9555.56,9547.96,2025-10-21
generic_heavy_transport,EGNX,EGLL,1243.85,41397.1,16.98,-29.03,24.42,55305.76,56748.89,2025-05-08
generic_business_jet,LLBG,EHAM,1412.04,479.82,7.73,31.46,14.71,9489.27,11511.95,2025-01-22
generic_business_jet,LLBG,EGNM,598.56,1647.18,25.38,0.96,5.99,4264.43,4427.67,2025-07-23
generic_transport_aircraft,EGGW,LLBG,140.03,9691.6,16.52,-1.74,15.1,2183.7,2369.98,2025-12-18
generic_transport_aircraft,LEBL,EGLL,256.25,6459.36,12.94,-44.33,21.96,3876.62,3805.23,2026-03-18
generic_transport_aircraft,EGNX,EGLL,461.18,5920.47,19.49,-15.73,14.95,6844.48,6963.69,2025-12-25
generic_business_jet,LEBL,EGPH,748.04,976.09,18.57,33.34,22.44,5136.79,5313.92,2025-10-12
generic_light_aircraft,EGPF,EGNM,1449.07,395.42,16.41,-44.22,11.86,1969.84,1810.66,2026-04-03
generic_transport_aircraft,LLBG,EDDF,1309.58,9531.33,12.6,-0.03,17.71,18986.61,17702.16,2026-02-21
generic_transport_aircraft,EGNX,LFPG,214.01,9062.82,11.71,-16.18,17.3,3219.43,3381.03,2025-06-26
generic_light_aircraft,EGTK,EGNM,1567.23,485.25,10.38,1.07,20.97,2055.99,2145.87,2025-12-11
generic_transport_aircraft,LFPG,EGNM,829.36,1401.69,19.5,-7.9,33.26,12050.29,13076.87,2025-11-24
generic_business_jet,LEBL,EGPH,1119.6,907.16,25.96,-38.67,8.75,7987.59,7739.35,2025-11-06
generic_business_jet,EDDF,EGPF,825.8,1594.21,13.99,1.95,33.62,5743.02,6166.52,2025-04-05
generic_light_aircraft,LLBG,EGTK,456.77,200.66,22.37,14.98,3.42,614.16,602.08,2025-08-31
generic_light_aircraft,LFPG,EGTK,741.76,406.0,7.83,-24.0,1.21,992.69,1007.44,2026-03-30
generic_business_jet,EGPF,EGNX,1339.48,964.74,8.78,-2.86,1.82,9205.08,9669.19,2026-03-19
generic_heavy_transport,EGNM,LFPG,993.73,15896.58,15.79,32.56,22.9,42442.57,42923.08,2025-11-02
generic_transport_aircraft,EGNM,LEMD,1584.65,5502.24,20.08,-2.3,31.36,22920.82,22021.89,2025-06-07
generic_business_jet,EGPH,EGNM,577.77,300.14,23.94,22.84,8.76,4050.85,4069.24,2025-01-05
generic_heavy_transport,LEMD,EGNM,882.25,5365.3,15.47,-21.57,4.25,38042.3,40064.13,2025-10-15
generic_business_jet,EGPF,EGNM,1299.72,1268.99,24.23,-27.35,-1.83,9177.79,9199.92,2025-09-22
generic_heavy_transport,LEBL,LLBG,1462.29,32385.61,12.26,14.43,27.35,63359.51,57527.1,2025-05-29
generic_transport_aircraft,EGSS,LEMD,839.61,8555.43,16.82,-19.35,1.09,12338.97,13031.05,2025-01-12
generic_business_jet,EGLL,EGSS,264.44,957.62,6.18,-37.78,-4.41,1886.23,1908.4,2025-09-13
generic_transport_aircraft,EGPH,LFPG,100.7,1422.57,22.51,-33.31,5.66,1678.18,1772.52,2025-10-06
generic_light_aircraft,EGNM,EGLL,1521.9,426.9,24.22,-35.24,25.73,2072.35,2073.63,2026-01-13
generic_transport_aircraft,EGTK,EGNX,1398.1,6493.1,27.61,-7.17,22.26,20385.68,22311.4,2025-06-15
generic_transport_aircraft,EGLL,LEMD,1351.99,6820.17,8.69,-6.5,6.95,19531.53,19306.83,2025-02-27
generic_business_jet,EGGW,LEMD,71.44,1491.59,18.86,-13.34,4.72,626.94,635.61,2025-10-25
generic_transport_aircraft,LEBL,LEMD,1091.35,4771.08,7.97,-32.38,-1.34,15898.29,14413.2,2025-11-17
generic_business_jet,EGTK,EGSS,315.13,1104.53,8.36,-5.97,7.67,2215.47,2024.42,2025-11-27
generic_transport_aircraft,LEBL,EGPH,814.95,2719.1,21.16,-16.35,0.39,11910.41,12517.47,2025-05-31
generic_transport_aircraft,LFPG,LEBL,1039.56,6751.64,13.12,-7.53,29.71,15099.1,14530.03,2026-03-17
generic_light_aircraft,LFPG,EGLL,317.07,218.27,11.79,-15.63,-4.97,431.58,416.59,2025-01-10
generic_transport_aircraft,EHAM,EGPH,464.07,8791.54,20.48,-1.88,10.5,6885.55,6603.63,2025-09-12
generic_light_aircraft,LEBL,LFPG,541.89,263.92,13.08,-37.3,21.36,746.03,839.1,2025-01-17
generic_transport_aircraft,EGGW,EGSS,218.31,7066.64,24.4,7.63,16.03,3367.25,3485.8,2025-05-12
generic_business_jet,EGTK,EGPF,1304.82,319.63,26.26,7.46,32.14,9042.47,9318.04,2025-07-04
generic_heavy_transport,LFPG,LEBL,775.0,19762.75,21.59,20.89,5.63,33660.74,37236.86,2026-03-04
generic_heavy_transport,EGNX,EGSS,1730.83,8884.77,21.95,-2.47,2.58,74107.38,71066.21,2025-04-02
generic_transport_aircraft,LFPG,LEBL,1354.42,9312.26,18.68,8.96,23.1,19618.15,19484.45,2025-02-23
generic_light_aircraft,EGLL,LLBG,749.73,235.01,9.48,34.87,12.72,960.59,933.03,2025-06-16
generic_business_jet,LLBG,EGPH,1156.34,1539.23,13.12,-25.74,16.83,8102.98,8413.34,2025-10-09
generic_business_jet,LEMD,EGNX,838.97,1739.74,6.0,-42.23,6.38,5910.36,6084.57,2025-01-04
generic_business_jet,EGNX,EGGW,597.66,1457.28,26.75,20.79,31.76,4232.61,4245.43,2025-10-20
generic_light_aircraft,EHAM,EGLL,852.95,162.44,11.83,26.17,4.99,1101.26,1099.25,2025-10-19
generic_light_aircraft,EGGW,LEBL,614.83,293.01,16.74,26.92,23.11,810.03,847.66,2025-02-18
generic_business_jet,EHAM,LEMD,1327.54,1164.43,7.73,-40.53,25.84,9328.38,8782.47,2026-03-21
generic_business_jet,EGSS,LLBG,1190.63,1203.45,6.25,17.19,10.3,8079.45,8748.36,2025-01-22
generic_transport_aircraft,EGPH,EHAM,618.59,8524.34,9.37,8.89,34.89,8971.33,9782.69,2025-02-16
